track_id,youtube_id,source,format,v1_1_status
b7cfa9f20f1c6042,WyEWBx0_ud0,sonics_real,flac,train_partition_or_unrecoverable
f6d6d89438c265a1,stRgvmCMWxo,sonics_real,flac,test_ok
c4989eb7dd3c6d8e,0mEI5o3eKeQ,sonics_real,flac,test_ok
46e3057fc4f9df8f,oTwUnkVyHe0,sonics_real,flac,test_ok
75a3982ba422f992,miFDLuXUy_s,sonics_real,flac,test_ok
a7400f151227c750,sn4JoFeeG2g,sonics_real,flac,test_ok
3515f4d1b0032390,vVZKbIOJIJw,sonics_real,flac,test_ok
7daac2f143ec91a7,NCI54uGGE2g,sonics_real,flac,test_ok
2ff51e889bcc9883,08beVMVWfnI,sonics_real,flac,test_ok
a53ab2ea2a0d2643,sAn_t_1NdA8,sonics_real,flac,test_ok
0e15464552e43cea,c7i_2YQmLu4,sonics_real,flac,test_ok
b0073673b212734a,OjYktl7Nz3Q,sonics_real,flac,test_ok
c4ea6238feebe4ae,1CpSVtb0od0,sonics_real,flac,test_ok
6ae6e660fab1ee17,yxP2jo6cvS8,sonics_real,flac,test_ok
2f69977b44cfff33,95lp1DLjmus,sonics_real,flac,test_ok
05855d36eed20917,kw7b02XUb2k,sonics_real,flac,test_ok
93879e6781549a32,rk-Z_OxwQNE,sonics_real,flac,test_ok
7c6480b2b73301cd,A0cr2cfSH9I,sonics_real,flac,test_ok
67eceec322b5ca21,9wHUP8lQA4o,sonics_real,flac,test_ok
cf764e167a7d16ca,MPi8PRU8F1o,sonics_real,flac,test_ok
f85ff6717d67f7a2,ks6JYTDyAvI,sonics_real,flac,test_ok
800c94692f132fb2,BTYUcEnwcGs,sonics_real,flac,test_ok
bb0aa00a5f3629f9,FoBkVh1wW20,sonics_real,flac,test_ok
6b2921045ba94d07,a4IZxku8N7w,sonics_real,flac,test_ok
c41a1cb9d7a30309,FM64Cz47bZE,sonics_real,flac,test_ok
3ef550ef6282bb75,WhWgB0vx-iE,sonics_real,flac,test_ok
b6b44d65cb887989,lVwagANZC0c,sonics_real,flac,test_ok
941e336fd56333e8,87VQbYFQiZQ,sonics_real,flac,test_ok
239873f5fac09f93,kpjgDHc9zjk,sonics_real,flac,test_ok
b3994b8201355b6b,oG6fucqzJX0,sonics_real,flac,test_ok
e210670ced059163,k7mkdb5y3As,sonics_real,flac,test_ok
087e760b1acec04a,k-o6ZMse3ns,sonics_real,flac,test_ok
354645324e407757,dXgZA6LhYII,sonics_real,flac,test_ok
b874ef8b0d436a8c,iVFTLq_GqyA,sonics_real,flac,test_ok
d1043a185e468f2f,knuHDPbE5es,sonics_real,flac,test_ok
610c2be69244b9c3,ZhFGDSacvzw,sonics_real,flac,test_ok
06b7f3cbe1545033,ENSWHwyweiE,sonics_real,flac,test_ok
9329e64bf22fc11c,fLHMk2IU6r0,sonics_real,flac,test_ok
08e51512178e084d,thaZdbpburs,sonics_real,flac,test_ok
f1068f7c40a1c233,1YPPaGXGquE,sonics_real,flac,test_ok
7b348308d4b63b90,KwfAYjrSWCQ,sonics_real,flac,test_ok
74fb969f02afe823,1JX2PeAneq8,sonics_real,flac,train_partition_or_unrecoverable
b3872eb28fda016f,uEDAxKwfic8,sonics_real,flac,test_ok
b74a6e381e1cee3d,QNf6C5IFQ-c,sonics_real,flac,test_ok
488b6c06e031cb7a,eQ8kiizrw70,sonics_real,flac,test_ok
ddb4e8ad2799bc04,whxEpX-mHf4,sonics_real,flac,test_ok
dc8df9f253842ce1,9QGgCXRrsp4,sonics_real,flac,test_ok
e0cd9cf02541f4d9,OxLq8n9CDuU,sonics_real,flac,test_ok
ffb001f295c55915,LyB4nyokwGQ,sonics_real,flac,test_ok
e50550fcf94f456d,RL-qgT3vBaA,sonics_real,flac,test_ok
afad37eba6682f8f,uV64xwbr1s8,sonics_real,flac,test_ok
dd0f1a25d788c1ef,Ry3W68euyp0,sonics_real,flac,test_ok
7ceef13ee4bc0658,AiVzIjJNgdE,sonics_real,flac,test_ok
b94742cd1f116e89,A55d5dhsReg,sonics_real,flac,test_ok
cd70b2ed7a2b0032,wDlKTQ3Ig7A,sonics_real,flac,test_ok
1bf063545ae36806,GIZE45qyGxc,sonics_real,flac,test_ok
e674973940861c51,i5jTp7j5BTg,sonics_real,flac,test_ok
019e2408df27795b,z1NfVi6SM3Q,sonics_real,flac,test_ok
47add8a91339555b,aXZJbQLl_3k,sonics_real,flac,test_ok
44efbbb1848a73c0,3XAsRDpi6Hg,sonics_real,flac,test_ok
c431661b5c6bf4f7,OMaZEl8alBA,sonics_real,flac,test_ok
48d9b800e7f8b5f0,fRNWu-oPboM,sonics_real,flac,test_ok
97fdcca35772e4dc,EPQqOap0EvM,sonics_real,flac,test_ok
b87f91a88357d8ee,s6mpU2ngPmo,sonics_real,flac,test_ok
0005e529c4716a74,bVMAcPw1KEM,sonics_real,flac,test_ok
e5d25f28fea53863,Gpg9YeRhcus,sonics_real,flac,test_ok
abcd263664cdbdea,BkLMqWXKGWs,sonics_real,flac,test_ok
d3ab100d721a0349,eeekLzEjb8Q,sonics_real,flac,test_ok
dbfc2a307c2233df,MHGtNGQWOVk,sonics_real,flac,test_ok
d0b4a4e8a3c0f556,QSo_k-7CYIw,sonics_real,flac,test_ok
1e67a39bb198fa6d,S8ndUKwmZyI,sonics_real,flac,test_ok
6d534d240298270a,5OiwqYcoVTU,sonics_real,flac,test_ok
221a6f94e8379030,y6C1FKzkRlc,sonics_real,flac,test_ok
e131f9be8dee762a,m1GH7eyZ0DQ,sonics_real,flac,test_ok
